Sr.No,Class Name,Line Coverage,Mutation Score,Line Coverage decimal,Mutation Score Decimal
548,HarmonicFitter,99,71,0.99,0.71
27,HarmonicOscillator,97,97,0.97,0.97
74,HermiteInterpolator,100,95,1,0.95
63,HermiteRuleFactory,100,1,1,0.01
325,HessenbergTransformer,99,95,0.99,0.95
439,HighamHall54FieldIntegrator,100,100,1,1
440,HighamHall54FieldStepInterpolator,100,80,1,0.8
441,HighamHall54Integrator,100,95,1,0.95
442,HighamHall54StepInterpolator,100,99,1,0.99
377,HitHistogram,0,0,0,0
141,HypergeometricDistribution,97,97,0.97,0.97
28,Identity,75,67,0.75,0.67
689,Incrementor,74,67,0.74,0.67
468,InitialGuess,100,100,1,1
524,InitialGuess,100,100,1,1
285,InsideFinder,0,0,0,0
690,IntegerSequence,92,90,0.92,0.9
75,InterpolatingMicrosphere,76,75,0.76,0.75
76,InterpolatingMicrosphere2D,67,86,0.67,0.86
240,Interval,80,71,0.8,0.71
241,IntervalsSet,88,77,0.88,0.77
660,IntervalUtils,90,71,0.9,0.71
29,Inverse,75,75,0.75,0.75
579,ISAACRandom,96,94,0.96,0.94
691,IterationEvent,100,100,1,1
692,IterationManager,69,63,0.69,0.63
54,IterativeLegendreGaussIntegrator,97,93,0.97,0.93
326,IterativeLinearSolver,63,31,0.63,0.31
327,IterativeLinearSolverEvent,50,0,0.5,0
6,JacobianFunction,100,100,1,1
395,JacobianMatrices,92,85,0.92,0.85
503,JacobianMultivariateVectorOptimizer,100,100,1,1
328,JacobiPreconditioner,90,83,0.9,0.83
580,JDKRandomGenerator,78,67,0.78,0.67
188,KalmanFilter,80,59,0.8,0.59
611,KendallsCorrelation,97,97,0.97,0.97
356,KMeansPlusPlusClusterer,62,43,0.62,0.43
609,KMeansPlusPlusClusterer,95,57,0.95,0.57
370,KohonenTrainingTask,100,100,1,1
371,KohonenUpdateAction,97,77,0.97,0.77
142,KolmogorovSmirnovDistribution,79,71,0.79,0.71
651,KolmogorovSmirnovTest,81,73,0.81,0.73
693,KthSelector,100,75,1,0.75
629,Kurtosis,94,89,0.94,0.89
