Sr.No,Class Name,Line Coverage,Branch Coverage,Branch Missed,Branch Missed+Covered,BranchCoveragePercentageDecimal,BranchCoveragePercentage
583,Sphere1D,6,0,0,0,0,0
533,Sphere2D,5,0,0,0,0,0
494,SphereGenerator,62,8,0,8,1,100
501,SphericalCoordinates,117,2,2,4,0.5,50
539,SphericalPolygonsSet,146,69,13,82,0.8414634,84.14634
188,SplineInterpolator,38,12,0,12,1,100
123,Sqrt,3,0,0,0,0,0
555,StableRandomGenerator,31,19,5,24,0.7916667,79.16667
80,StandardDeviation,28,0,0,0,0,0
631,StatisticalSummaryValues,45,11,5,16,0.6875,68.75
475,StatUtils,80,23,7,30,0.76666665,76.666664
112,StepFunction,19,14,0,14,1,100
609,StepNormalizer,59,33,1,34,0.9705882,97.05882
610,StepNormalizerBounds,11,0,0,0,0,0
330,StorelessBivariateCovariance,26,2,2,4,0.5,50
325,StorelessCovariance,27,15,7,22,0.6818182,68.181816
531,SubCircle,14,8,0,8,1,100
580,SubLimitAngle,7,2,0,2,1,100
491,SubLine,28,14,0,14,1,100
614,SubLine,54,28,0,28,1,100
21,SubOrientedPoint,10,4,0,4,1,100
496,SubPlane,32,11,1,12,0.9166667,91.66667
127,Subtract,0,0,0,0,0,0
432,Sum,33,6,2,8,0.75,75
629,SummaryStatistics,169,41,19,60,0.68333334,68.333336
205,SumOfClusterVariances,13,5,1,6,0.8333333,83.33333
431,SumOfLogs,27,3,1,4,0.75,75
429,SumOfSquares,27,3,1,4,0.75,75
72,SymmetricGaussIntegrator,25,6,0,6,1,100
281,SymmLQ,48,8,2,10,0.8,80
624,SynchronizedDescriptiveStatistics,28,0,0,0,0,0
632,SynchronizedMultivariateSummaryStatistics,41,0,0,0,0,0
554,SynchronizedRandomGenerator,12,0,0,0,0,0
628,SynchronizedSummaryStatistics,30,0,0,0,0,0
96,Tan,2,0,0,0,0,0
125,Tanh,2,0,0,0,0,0
415,Target,4,0,0,0,0,0
681,Target,4,0,0,0,0,0
367,TDistribution,47,13,1,14,0.9285714,92.85714
395,TestUtils,44,0,0,0,0,0
82,ThirdMoment,29,2,0,2,1,100
253,ThreeEighthesFieldIntegrator,24,2,0,2,1,100
242,ThreeEighthesFieldStepInterpolator,27,3,1,4,0.75,75
244,ThreeEighthesStepInterpolator,38,7,1,8,0.875,87.5
516,TooManyEvaluationsException,3,0,0,0,0,0
521,TooManyIterationsException,3,0,0,0,0,0
348,TopographicErrorHistogram,0,0,10,10,0,0
460,TournamentSelection,13,3,1,4,0.75,75
700,Transformer,6,0,0,0,0,0
56,TransformerMap,31,12,8,20,0.6,60.000004
175,TransformUtils,24,10,4,14,0.71428573,71.42857
212,TrapezoidIntegrator,37,10,4,14,0.71428573,71.42857
357,TriangularDistribution,58,36,4,40,0.9,90
195,TricubicInterpolatingFunction,104,70,22,92,0.76086956,76.08696
201,TricubicInterpolator,51,16,4,20,0.8,80
179,TricubicSplineInterpolatingFunction,97,70,10,80,0.875,87.5
190,TricubicSplineInterpolator,78,50,4,54,0.9259259,92.59259
319,TriDiagonalTransformer,88,46,0,46,1,100
402,TTest,98,23,1,24,0.9583333,95.83333
124,Ulp,2,0,0,0,0,0
547,UncorrelatedRandomVectorGenerator,16,3,1,4,0.75,75
346,UnifiedDistanceMatrix,0,0,28,28,0,0
473,UniformCrossover,24,14,0,14,1,100
377,UniformIntegerDistribution,29,16,0,16,1,100
550,UniformRandomGenerator,5,0,0,0,0,0
363,UniformRealDistribution,31,14,0,14,1,100
559,UnitSphereRandomVectorGenerator,16,4,0,4,1,100
9,UnivariateMultiStartOptimizer,28,10,4,14,0.71428573,71.42857
692,UnivariateObjectiveFunction,4,0,0,0,0,0
689,UnivariateOptimizer,24,8,0,8,1,100
203,UnivariatePeriodicInterpolator,28,6,0,6,1,100
6,UnivariatePointValuePair,6,0,0,0,0,0
686,UnivariatePointValuePair,6,0,0,0,0,0
673,UnivariateSolverUtils,72,49,19,68,0.7205882,72.05882
157,UnknownParameterException,4,0,0,0,0,0
549,ValueServer,78,23,2,25,0.92,92
90,Variance,101,32,14,46,0.6956522,69.565216
18,Vector1D,71,15,1,16,0.9375,93.75
17,Vector1DFormat,19,3,1,4,0.75,75
620,Vector2D,54,16,18,34,0.47058824,47.058823
616,Vector2DFormat,18,3,1,4,0.75,75
497,Vector3D,142,46,0,46,1,100
489,Vector3DFormat,19,3,1,4,0.75,75
214,VectorFormat,37,15,1,16,0.9375,93.75
81,VectorialCovariance,39,19,9,28,0.6785714,67.85714
86,VectorialMean,20,12,4,16,0.75,75
538,Vertex,23,5,1,6,0.8333333,83.33333
387,WeibullDistribution,61,18,4,22,0.8181818,81.818184
424,Weight,4,0,2,2,0,0
679,Weight,4,0,2,2,0,0
216,WeightedObservedPoint,8,0,0,0,0,0
405,WeightedObservedPoint,8,0,0,0,0,0
412,WeightedObservedPoints,11,0,0,0,0,0
566,Well1024a,20,0,0,0,0,0
557,Well19937a,22,0,0,0,0,0
556,Well19937c,26,0,0,0,0,0
560,Well44497a,22,2,0,2,1,100
561,Well44497b,26,2,0,2,1,100
570,Well512a,17,0,0,0,0,0
647,WelzlEncloser,45,19,1,20,0.95,95
396,WilcoxonSignedRankTest,55,34,2,36,0.9444444,94.44444
483,WilsonScoreInterval,15,0,0,0,0,0
356,ZipfDistribution,57,24,0,24,1,100
